date;dont soins intensifs;hospitalisations
01.07.2021;35;107
02.07.2021;31;115
03.07.2021;16;43
04.07.2021;17;51
05.07.2021;27;92
06.07.2021;27;86
07.07.2021;25;77
08.07.2021;24;74
09.07.2021;24;79
10.07.2021;19;54
11.07.2021;19;57
12.07.2021;25;86
13.07.2021;21;73
14.07.2021;21;75
15.07.2021;24;81
16.07.2021;25;90
17.07.2021;14;33
18.07.2021;13;32
19.07.2021;33;145
20.07.2021;30;123
21.07.2021;29;122
22.07.2021;31;133
23.07.2021;32;140
24.07.2021;23;66
25.07.2021;22;66
26.07.2021;39;162
27.07.2021;36;152
28.07.2021;38;173
29.07.2021;33;167
30.07.2021;36;165
31.07.2021;24;77
01.08.2021;23;70
02.08.2021;41;182
03.08.2021;47;214
04.08.2021;51;218
05.08.2021;53;225
06.08.2021;55;251
07.08.2021;26;78
08.08.2021;30;100
09.08.2021;72;284
10.08.2021;75;307
11.08.2021;79;332
12.08.2021;82;343
13.08.2021;87;365
14.08.2021;46;171
15.08.2021;35;136
16.08.2021;122;533
17.08.2021;141;572
18.08.2021;163;601
19.08.2021;166;631
20.08.2021;179;666
21.08.2021;137;471
22.08.2021;138;494
23.08.2021;204;752
24.08.2021;221;802
25.08.2021;213;791
26.08.2021;234;825
27.08.2021;248;809
28.08.2021;254;759
29.08.2021;220;643
30.08.2021;231;734
31.08.2021;201;684
01.09.2021;269;869
02.09.2021;277;829
03.09.2021;278;801
04.09.2021;275;772
05.09.2021;277;774
06.09.2021;287;820
07.09.2021;283;830
08.09.2021;292;821
09.09.2021;281;835
10.09.2021;283;826
11.09.2021;271;762
12.09.2021;267;789
13.09.2021;276;833
14.09.2021;267;824
15.09.2021;263;802
16.09.2021;262;770
17.09.2021;265;711
18.09.2021;249;679
19.09.2021;242;687
20.09.2021;234;687
21.09.2021;227;695
22.09.2021;227;673
23.09.2021;206;674
24.09.2021;213;619
25.09.2021;197;541
26.09.2021;189;514
27.09.2021;175;525
28.09.2021;187;562
29.09.2021;170;520
30.09.2021;176;500
01.10.2021;173;484
02.10.2021;162;452
03.10.2021;160;458
04.10.2021;157;484
05.10.2021;164;462
06.10.2021;160;430
07.10.2021;157;434
08.10.2021;149;408
09.10.2021;141;375
10.10.2021;131;352
11.10.2021;141;410
12.10.2021;131;393
13.10.2021;130;389
14.10.2021;124;368
15.10.2021;118;356
16.10.2021;117;360
17.10.2021;116;348
18.10.2021;113;381
19.10.2021;108;387
20.10.2021;113;366
21.10.2021;102;364
22.10.2021;100;366
23.10.2021;99;369
24.10.2021;103;396
25.10.2021;97;405
26.10.2021;98;402
27.10.2021;102;379
28.10.2021;110;407
29.10.2021;111;411
30.10.2021;107;401
31.10.2021;100;409
01.11.2021;111;465
02.11.2021;107;479
03.11.2021;101;472
04.11.2021;103;484
05.11.2021;105;475
06.11.2021;114;493
07.11.2021;108;489
08.11.2021;119;554
09.11.2021;125;568
10.11.2021;122;572
11.11.2021;121;575
12.11.2021;122;608
13.11.2021;127;614
14.11.2021;129;674
15.11.2021;128;698
16.11.2021;141;709
17.11.2021;144;738
18.11.2021;145;732
19.11.2021;154;779
20.11.2021;142;757
21.11.2021;158;860
22.11.2021;171;932
23.11.2021;169;984
24.11.2021;181;1030
25.11.2021;189;1097
26.11.2021;198;1102
27.11.2021;206;1108
28.11.2021;211;1178
29.11.2021;224;1311
30.11.2021;231;1321
01.12.2021;228;1330
02.12.2021;238;1319
03.12.2021;242;1330
04.12.2021;236;1305
05.12.2021;245;1421
06.12.2021;263;1561
07.12.2021;259;1583
08.12.2021;254;1589
09.12.2021;289;1626
10.12.2021;274;1615
11.12.2021;265;1594
12.12.2021;279;1605
13.12.2021;303;1758
14.12.2021;289;1683
15.12.2021;296;1650
16.12.2021;294;1621
17.12.2021;295;1560
18.12.2021;291;1516
19.12.2021;307;1614
20.12.2021;309;1699
21.12.2021;309;1653
22.12.2021;312;1654
23.12.2021;310;1619
24.12.2021;314;1616
25.12.2021;316;1526
26.12.2021;320;1616
27.12.2021;325;1667
28.12.2021;314;1678
29.12.2021;325;1731
30.12.2021;314;1653
31.12.2021;298;1562
01.01.2022;302;1537
02.01.2022;303;1631
03.01.2022;296;1716
04.01.2022;304;1766
05.01.2022;296;1773
06.01.2022;283;1754
07.01.2022;287;1817
08.01.2022;270;1753
09.01.2022;259;1808
10.01.2022;272;1840
11.01.2022;271;1778
12.01.2022;260;1778
13.01.2022;257;1756
14.01.2022;259;1762
15.01.2022;266;1724
16.01.2022;263;1802
