date;incidence sur 14 jours
01.01.2022;1980.06
02.01.2022;2077.82
03.01.2022;2317.74
04.01.2022;2578.27
05.01.2022;2804.84
06.01.2022;2976.28
07.01.2022;3179.65
08.01.2022;3310.23
09.01.2022;3379.59
10.01.2022;3576.9
11.01.2022;3729.71
12.01.2022;3852.2
13.01.2022;3954.56
14.01.2022;4087.08
15.01.2022;4201.15
16.01.2022;4223.61
17.01.2022;4333.47
18.01.2022;4402.1
19.01.2022;4499.48
20.01.2022;4632.43
21.01.2022;4740.54
22.01.2022;4819.6
23.01.2022;4876.69
24.01.2022;5035.87
25.01.2022;5188.16
26.01.2022;5324
27.01.2022;5428.81
28.01.2022;5520.99
29.01.2022;5567.03
30.01.2022;5604.64
31.01.2022;5621.22
01.02.2022;5589.26
02.02.2022;5531.17
03.02.2022;5430.32
04.02.2022;5311.43
05.02.2022;5237.03
06.02.2022;5191.84
07.02.2022;5005.42
08.02.2022;4807.6
09.02.2022;4623.97
10.02.2022;4445.45
11.02.2022;4261.74
12.02.2022;4154.61
13.02.2022;4070.69
14.02.2022;3856.53
15.02.2022;3671.79
16.02.2022;3499.24
17.02.2022;3330.33
18.02.2022;3181.7
19.02.2022;3084.76
20.02.2022;3011.28
21.02.2022;2866.35
22.02.2022;2751.29
23.02.2022;2660.29
24.02.2022;2585.77
25.02.2022;2530
26.02.2022;2496.4
27.02.2022;2479.66
28.02.2022;2469.85
01.03.2022;2491.85
02.03.2022;2558.01
03.03.2022;2677.29
04.03.2022;2794.45
05.03.2022;2885.32
06.03.2022;2958.38
07.03.2022;3134.71
08.03.2022;3293.61
09.03.2022;3447.68
10.03.2022;3604.72
11.03.2022;3753
12.03.2022;3859.13
13.03.2022;3937.48
14.03.2022;4128.43
15.03.2022;4252.71
16.03.2022;4319.69
17.03.2022;4342.36
18.03.2022;4344.01
19.03.2022;4326.25
20.03.2022;4301.07
21.03.2022;4253.34
22.03.2022;4163.94
23.03.2022;4034.55
24.03.2022;3889.38
25.03.2022;3737.71
26.03.2022;3617
27.03.2022;3514.9
28.03.2022;3264.78
29.03.2022;3040.96
30.03.2022;2827.64
31.03.2022;2617.13
01.04.2022;2416.88
02.04.2022;2279.39
03.04.2022;2173.89
04.04.2022;1918.4
05.04.2022;1733.78
06.04.2022;1589.51
07.04.2022;1466.6
08.04.2022;1364.61
09.04.2022;1293.7
10.04.2022;1239.98
11.04.2022;1107.75
12.04.2022;1013.09
13.04.2022;936.82
14.04.2022;895.19
15.04.2022;853.55
16.04.2022;843.33
17.04.2022;829.78
18.04.2022;759.35
19.04.2022;741.36
20.04.2022;704.89
21.04.2022;675.87
22.04.2022;646.37
23.04.2022;627.42
24.04.2022;615.4
25.04.2022;576.89
26.04.2022;544.57
27.04.2022;512.29
28.04.2022;487.13
29.04.2022;481.67
30.04.2022;460.86
01.05.2022;451.02
02.05.2022;456.78
03.05.2022;418.64
04.05.2022;396.71
05.05.2022;377.01
06.05.2022;362.57
07.05.2022;352.89
08.05.2022;344.84
09.05.2022;328.86
10.05.2022;319.29
11.05.2022;309.06
12.05.2022;299.49
13.05.2022;290.81
14.05.2022;284.27
15.05.2022;280.5
16.05.2022;268.33
17.05.2022;260.56
18.05.2022;252.19
19.05.2022;244.72
20.05.2022;235.18
21.05.2022;230.45
22.05.2022;227.66
23.05.2022;215.71
24.05.2022;205.89
25.05.2022;197.08
26.05.2022;183.2
27.05.2022;178.79
28.05.2022;176.12
29.05.2022;175.7
30.05.2022;173.81
31.05.2022;175.06
01.06.2022;177.06
02.06.2022;180.69
03.06.2022;186.6
04.06.2022;190.89
05.06.2022;194.62
06.06.2022;192.63
07.06.2022;215.04
08.06.2022;233.06
09.06.2022;255.85
10.06.2022;270.63
11.06.2022;282.04
12.06.2022;289.26
13.06.2022;316.18
14.06.2022;340.06
15.06.2022;366.46
16.06.2022;388.94
17.06.2022;415.83
18.06.2022;432.28
19.06.2022;441.78
20.06.2022;495.48
21.06.2022;518.67
22.06.2022;548.59
23.06.2022;578.26
24.06.2022;603.32
25.06.2022;621.62
26.06.2022;633.96
27.06.2022;682.01
28.06.2022;723.34
29.06.2022;761.77
30.06.2022;803.33
01.07.2022;836.78
02.07.2022;858.94
03.07.2022;872.53
04.07.2022;932.99
05.07.2022;985.09
06.07.2022;1037.25
07.07.2022;1079.32
08.07.2022;1117.11
09.07.2022;1136.56
10.07.2022;1147.65
11.07.2022;1178.32
12.07.2022;1203.74
13.07.2022;1219.91
14.07.2022;1226.94
15.07.2022;1229.37
16.07.2022;1227.07
17.07.2022;1226.19
18.07.2022;1207.58
19.07.2022;1178.3
20.07.2022;1138.38
21.07.2022;1105
22.07.2022;1074.73
23.07.2022;1054.3
24.07.2022;1039.03
25.07.2022;989.12
26.07.2022;935.79
27.07.2022;884.85
28.07.2022;838.38
29.07.2022;797.64
30.07.2022;774.71
31.07.2022;759.52
01.08.2022;669.5
02.08.2022;643.76
03.08.2022;612.83
04.08.2022;583
05.08.2022;556.3
06.08.2022;543.23
07.08.2022;536.39
08.08.2022;509.89
09.08.2022;492.79
10.08.2022;479.94
11.08.2022;469.41
12.08.2022;459.59
13.08.2022;450.65
14.08.2022;446.14
15.08.2022;463.48
16.08.2022;444.01
17.08.2022;434.86
18.08.2022;428.5
19.08.2022;421.12
20.08.2022;413.81
21.08.2022;409.39
22.08.2022;398.51
23.08.2022;389.68
24.08.2022;382.58
25.08.2022;377.58
26.08.2022;371.74
27.08.2022;369.64
28.08.2022;366.77
29.08.2022;367.1
30.08.2022;361.99
31.08.2022;358.65
01.09.2022;353.71
02.09.2022;350.3
03.09.2022;347.46
04.09.2022;344.82
05.09.2022;340.27
06.09.2022;337.82
07.09.2022;336.33
08.09.2022;333.29
09.09.2022;331.1
10.09.2022;328.82
11.09.2022;328.07
12.09.2022;323.99
13.09.2022;319.95
14.09.2022;317.39
15.09.2022;318.41
16.09.2022;317.96
17.09.2022;317.88
18.09.2022;317.61
19.09.2022;313.8
20.09.2022;315.02
21.09.2022;317.17
22.09.2022;322.86
23.09.2022;329.45
24.09.2022;334.8
25.09.2022;338.79
26.09.2022;355.25
27.09.2022;372.1
28.09.2022;388.46
29.09.2022;407.1
30.09.2022;426.86
01.10.2022;439.87
02.10.2022;449.81
03.10.2022;490.68
04.10.2022;525.38
05.10.2022;563.06
